Stage,Date & Time (US PDT/UTC-7),Team 1,Score 1,Score 2,Team 2,Match #,Location,Match ID,Status,First Half Start,Second Half Start
Group,"Thursday, June 11, at 12:00 PM",🇲🇽 Mexico,2,0,🇿🇦 South Africa,1,"Estadio Azteca, Mexico City",537327,FINISHED,,
Group,"Thursday, June 11, at 7:00 PM",🇰🇷 South Korea,2,1,🇨🇿 Czechia,2,"Estadio Akron, Zapopan",537328,FINISHED,,
Group,"Friday, June 12, at 12:00 PM",🇨🇦 Canada,1,1,🇧🇦 Bosnia-Herzegovina,3,"BMO Field, Toronto",537333,FINISHED,,
Group,"Friday, June 12, at 6:00 PM",🇺🇸 United States,4,1,🇵🇾 Paraguay,4,"SoFi Stadium, Inglewood",537345,FINISHED,,
Group,"Saturday, June 13, at 12:00 PM",🇶🇦 Qatar,1,1,🇨🇭 Switzerland,8,"Levi's Stadium, Santa Clara",537334,FINISHED,,
Group,"Saturday, June 13, at 3:00 PM",🇧🇷 Brazil,1,1,🇲🇦 Morocco,7,"MetLife Stadium, East Rutherford",537339,FINISHED,,
Group,"Saturday, June 13, at 6:00 PM",🇭🇹 Haiti,0,1,🏴󠁧󠁢󠁳󠁣󠁴󠁿 Scotland,5,"Gillette Stadium, Foxborough",537340,FINISHED,,
Group,"Saturday, June 13, at 8:59 PM",🇦🇺 Australia,2,0,🇹🇷 Turkey,6,"BC Place, Vancouver",537346,FINISHED,,
Group,"Sunday, June 14, at 10:00 AM",🇩🇪 Germany,7,1,🇨🇼 Curaçao,10,"NRG Stadium, Houston",537351,FINISHED,,
Group,"Sunday, June 14, at 1:00 PM",🇳🇱 Netherlands,2,2,🇯🇵 Japan,11,"AT&T Stadium, Arlington",537357,FINISHED,,
Group,"Sunday, June 14, at 4:00 PM",🇨🇮 Ivory Coast,1,0,🇪🇨 Ecuador,9,"Lincoln Financial Field, Philadelphia",537352,FINISHED,,
Group,"Sunday, June 14, at 7:00 PM",🇸🇪 Sweden,5,1,🇹🇳 Tunisia,12,"Estadio BBVA, Guadalupe",537358,FINISHED,,
Group,"Monday, June 15, at 9:00 AM",🇪🇸 Spain,0,0,🇨🇻 Cape Verde Islands,14,"Mercedes-Benz Stadium, Atlanta",537369,FINISHED,6/15/2026 9:00:00,6/15/2026 10:05:59
Group,"Monday, June 15, at 12:00 PM",🇧🇪 Belgium,,,🇪🇬 Egypt,16,"Lumen Field, Seattle",537363,TIMED,,
Group,"Monday, June 15, at 3:00 PM",🇸🇦 Saudi Arabia,,,🇺🇾 Uruguay,13,"Hard Rock Stadium, Miami Gardens",537370,TIMED,,
Group,"Monday, June 15, at 6:00 PM",🇮🇷 Iran,,,🇳🇿 New Zealand,15,"SoFi Stadium, Inglewood",537364,TIMED,,
Group,"Tuesday, June 16, at 12:00 PM",🇫🇷 France,,,🇸🇳 Senegal,17,"MetLife Stadium, East Rutherford",537391,TIMED,,
Group,"Tuesday, June 16, at 3:00 PM",🇮🇶 Iraq,,,🇳🇴 Norway,18,"Gillette Stadium, Foxborough",537392,TIMED,,
Group,"Tuesday, June 16, at 6:00 PM",🇦🇷 Argentina,,,🇩🇿 Algeria,19,"Arrowhead Stadium, Kansas City",537397,TIMED,,
Group,"Tuesday, June 16, at 8:59 PM",🇦🇹 Austria,,,🇯🇴 Jordan,20,"Levi's Stadium, Santa Clara",537398,TIMED,,
Group,"Wednesday, June 17, at 10:00 AM",🇵🇹 Portugal,,,🇨🇩 Congo DR,23,"NRG Stadium, Houston",537403,TIMED,,
Group,"Wednesday, June 17, at 1:00 PM",🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,,,🇭🇷 Croatia,21,"AT&T Stadium, Arlington",537409,TIMED,,
Group,"Wednesday, June 17, at 4:00 PM",🇬🇭 Ghana,,,🇵🇦 Panama,22,"BMO Field, Toronto",537410,TIMED,,
Group,"Wednesday, June 17, at 7:00 PM",🇺🇿 Uzbekistan,,,🇨🇴 Colombia,24,"Estadio Azteca, Mexico City",537404,TIMED,,
Group,"Thursday, June 18, at 9:00 AM",🇨🇿 Czechia,,,🇿🇦 South Africa,25,"Mercedes-Benz Stadium, Atlanta",537329,TIMED,,
Group,"Thursday, June 18, at 12:00 PM",🇨🇭 Switzerland,,,🇧🇦 Bosnia-Herzegovina,26,"SoFi Stadium, Inglewood",537335,TIMED,,
Group,"Thursday, June 18, at 3:00 PM",🇨🇦 Canada,,,🇶🇦 Qatar,27,"BC Place, Vancouver",537336,TIMED,,
Group,"Thursday, June 18, at 6:00 PM",🇲🇽 Mexico,,,🇰🇷 South Korea,28,"Estadio Akron, Zapopan",537330,TIMED,,
Group,"Friday, June 19, at 12:00 PM",🇺🇸 United States,,,🇦🇺 Australia,32,"Lumen Field, Seattle",537348,TIMED,,
Group,"Friday, June 19, at 3:00 PM",🏴󠁧󠁢󠁳󠁣󠁴󠁿 Scotland,,,🇲🇦 Morocco,30,"Gillette Stadium, Foxborough",537342,TIMED,,
